company_id,sales
LICI,734395.8571428572
RELIANCE,554806.2307692308
IOC,528256.3846153846
ONGC,363238.76923076925
BPCL,300060.92307692306
TATAMOTORS,294945.07692307694
SBIN,276614.07692307694
TATASTEEL,165509.07692307694
TCS,151302.92307692306
HINDALCO,140402.3076923077
LT,138310.23076923078
HDFCBANK,125082.0
NTPC,112913.61538461539
BHARTIARTL,104895.23076923077
COALINDIA,97739.30769230769
M&M,93587.84615384616
JSWSTEEL,92847.53846153847
VEDL,92591.92307692308
INFY,92404.23076923077
ICICIBANK,87249.69230769231
